"Key","Text_EN"
"popupdescription.txttitleoutline","Title
"
"popuperror.txtblueoutline","Quit
"
"popuperror.txtbtnsingle","Resume
"
"popuperror.txtdescription","Item DescriptionItem DescriptionItem Description"
"popuperror.txtgreen","Continue"
"popuperror.txtgreenoutline","Continue"
"popuperror.txtred","Quit
"
"popuperror.txtredoutline","Quit
"
"popuperror.txtsingleoutline","Resume
"
"popuperror.txttitle","Title"
"popuperror.txttitleoutline","Title"
"popupfail01.continuetitle","Continue?"
"popupfail01.costlabel","Cost:"
"popupfail01.costtext","FREE"
"popupfail01.txtcontinue","Add Space
"
"popupfail01.txtcontinueoutline","Add Space
"
"popupfail01.txtgold","1000"
"popupfail01.txtgoldoutline","900"
"popupfail02.txtblueoutline","Quit
"
"popupfail02.txtbtnsingle","Resume
"
"popupfail02.txtfail","Level Failed!"
"popupfail02.txtfailoutline","Level Failed!"
"popupfail02.txtgold","20"
"popupfail02.txtgoldoutline","20"
"popupfail02.txtgreen","Stay"
"popupfail02.txtgreenoutline","Stay"
"popupfail02.txthardlevel","Hard!"
"popupfail02.txthardleveloutline","Hard!"
"popupfail02.txtred","Quit
"
"popupfail02.txtredoutline","Quit
"
"popupfail02.txtsingleoutline","Resume
"
"popupfail02.txttitle","Title
"
"popupfail02.txttitleoutline","Title
"
"popupgoldshop.textamount","x1"
"popupgoldshop.textamountoutline","x1"
"popupgoldshop.textprice","Price
"
"popupgoldshop.textpriceoutline","Price
"
"popupgoldshop.textsale","90% OFF"
"popupgoldshop.textsaleoutline","90% OFF"
"popupgoldshop.titleshop","SHOP"
"popupgoldshop.titleshopoutline","SHOP"
"popupgoldshop.txtbtnbuy","$ 100"
"popupgoldshop.txtbtnbuyoutline","$ 100"
"popupgoldshop.txtbtnmoreproducts__1_","More Offers!"
"popupgoldshop.txtbtnmoreproductsoutline","More Offers!"
"popupgoldshop.txtdescription","No Ads,
Just Fun!"
"popupgoldshop.txtdescriptionoutline","No Ads,
Just Fun!"
"popupgoldshop.txtgold","1000"
"popupgoldshop.txtoffper","90% OFF"
"popupgoldshop.txttimeoff","COCOCO"
"popupgoldshop.txttitle","Title
"
"popupgoldshop.txttitleoutline","Title
"
"popupitemdescription.txtblueoutline","Quit
"
"popupitemdescription.txtbtnsingle","Claim
"
"popupitemdescription.txtdescription","Item DescriptionItem DescriptionItem Description"
"popupitemdescription.txtgold","1000"
"popupitemdescription.txtgreen","Stay"
"popupitemdescription.txtgreenoutline","Stay"
"popupitemdescription.txtred","Quit
"
"popupitemdescription.txtredoutline","Quit
"
"popupitemdescription.txtsingleoutline","Claim
"
"popupitemdescription.txttitle","Title
"
"popupitemdescription.txttitleoutline","Title
"
"popupmorelive.textlifeamount","0"
"popupmorelive.textlifeamountoutline","0"
"popupmorelive.txtblueoutline","Quit
"
"popupmorelive.txtbtnsingle","Resume
"
"popupmorelive.txtdescription","Time to next life"
"popupmorelive.txtfree","FREE"
"popupmorelive.txtfreeoutline","FREE"
"popupmorelive.txtgold","1000"
"popupmorelive.txtgoldoutline","900"
"popupmorelive.txtgreen","Continue"
"popupmorelive.txtgreenoutline","Continue"
"popupmorelive.txtlife","FULL"
"popupmorelive.txtlifeoutline","+5"
"popupmorelive.txtred","Quit
"
"popupmorelive.txtredoutline","Quit
"
"popupmorelive.txtsingleoutline","Resume
"
"popupmorelive.txttimer","00:00"
"popupmorelive.txttitle","Title
"
"popupmorelive.txttitleoutline","Title
"
"popupnoads.btnsingleoutline","USD 4.99"
"popupnoads.txtblueoutline","Quit
"
"popupnoads.txtbtnbuy","Buy"
"popupnoads.txtbtnbuyoutline","Buy"
"popupnoads.txtbtnsingle","USD 4.99
"
"popupnoads.txtdescription","Remove forced ads forever!"
"popupnoads.txtdescriptionoutline","Remove forced ads forever!"
"popupnoads.txtgold","1900"
"popupnoads.txtgoldoutline","1900"
"popupnoads.txtgreen","Stay"
"popupnoads.txtgreenoutline","Stay"
"popupnoads.txtred","Quit
"
"popupnoads.txtredoutline","Quit
"
"popupnoads.txttitle","No ADS"
"popupnoads.txttitleoutline","No ADS"
"popupprofile.txtblueoutline","Quit
"
"popupprofile.txtbtnsingle","Claim
"
"popupprofile.txtbtntapavatar","Avatar"
"popupprofile.txtbtntapavataroutline","Avatar"
"popupprofile.txtbtntapframe","Frame"
"popupprofile.txtbtntapframeoutline","Frame"
"popupprofile.txtbtntapname","Name"
"popupprofile.txtbtntapnameoutline","Name"
"popupprofile.txtbtntaptoken","Token"
"popupprofile.txtbtntaptokenoutline","Token"
"popupprofile.txtdescription","Item DescriptionItem DescriptionItem Description"
"popupprofile.txtgreen","Stay"
"popupprofile.txtgreenoutline","Stay"
"popupprofile.txtred","Quit
"
"popupprofile.txtredoutline","Quit
"
"popupprofile.txtsingleoutline","Claim
"
"popupprofile.txttitle","Title
"
"popupprofile.txttitleoutline","Title
"
"popupquit.textmultiplierx1","x1"
"popupquit.textmultiplierx10","x10"
"popupquit.textmultiplierx100","x100"
"popupquit.textmultiplierx25","x25"
"popupquit.textmultiplierx5","x5"
"popupquit.textyellowoutlinex10","x10"
"popupquit.textyellowoutlinex100","x100"
"popupquit.textyellowoutlinex1_","x1"
"popupquit.textyellowoutlinex25","x25"
"popupquit.textyellowoutlinex5","x5"
"popupquit.textyellowx10","x10"
"popupquit.textyellowx100","x100"
"popupquit.textyellowx1_","x1"
"popupquit.textyellowx25","x25"
"popupquit.txtblueoutline","Quit
"
"popupquit.txtbtnsingle","Resume
"
"popupquit.txtdescription","You will lose 1 Life!!"
"popupquit.txtgreen","Stay"
"popupquit.txtgreenoutline","Stay"
"popupquit.txtred","Quit
"
"popupquit.txtredoutline","Quit
"
"popupquit.txtsingleoutline","Resume
"
"popupquit.txttitle","Title
"
"popupquit.txttitleoutline","Title
"
"popupresult.txtblueoutline","Quit
"
"popupresult.txtbtnsingle","Resume
"
"popupresult.txtgold","20"
"popupresult.txtgoldoutline","20"
"popupresult.txtgreen","Stay"
"popupresult.txtgreenoutline","Stay"
"popupresult.txthardlevel","Hard!"
"popupresult.txthardleveloutline","Hard!"
"popupresult.txtred","Quit
"
"popupresult.txtredoutline","Quit
"
"popupresult.txtsingleoutline","Resume
"
"popupresult.txttitle","Title
"
"popupresult.txttitleoutline","Title
"
"popupsettings.txtblueoutline","Quit
"
"popupsettings.txtbtnsingle","Resume
"
"popupsettings.txtgreen","Stay"
"popupsettings.txtgreenoutline","Stay"
"popupsettings.txthaptic","Haptic"
"popupsettings.txtmusic","Music"
"popupsettings.txtred","Quit
"
"popupsettings.txtredoutline","Quit
"
"popupsettings.txtsingleoutline","Resume
"
"popupsettings.txtsound","Sound
"
"popupsettings.txttitle","Title
"
"popupsettings.txttitleoutline","Title
"
"popupwinningstreak.btnsingleoutline","Play"
"popupwinningstreak.textmultiplierx1","x1"
"popupwinningstreak.textmultiplierx10","x10"
"popupwinningstreak.textmultiplierx100","x100"
"popupwinningstreak.textmultiplierx25","x25"
"popupwinningstreak.textmultiplierx5","x5"
"popupwinningstreak.textreward","100"
"popupwinningstreak.textrewardoutline","100"
"popupwinningstreak.texttimer","0d 00h"
"popupwinningstreak.texttimeroutline","0d 00h"
"popupwinningstreak.textyellowoutlinex10","x10"
"popupwinningstreak.textyellowoutlinex100","x100"
"popupwinningstreak.textyellowoutlinex1_","x1"
"popupwinningstreak.textyellowoutlinex25","x25"
"popupwinningstreak.textyellowoutlinex5","x5"
"popupwinningstreak.textyellowx10","x10"
"popupwinningstreak.textyellowx100","x100"
"popupwinningstreak.textyellowx1_","x1"
"popupwinningstreak.textyellowx25","x25"
"popupwinningstreak.txtblueoutline","Quit
"
"popupwinningstreak.txtbtnbuy","Buy"
"popupwinningstreak.txtbtnbuyoutline","Buy"
"popupwinningstreak.txtbtnsingle","Play"
"popupwinningstreak.txtdescription","Win levels to collect <color=#FFD700> Flames! </color>
Longer streak, more Rewards!"
"popupwinningstreak.txtdescriptionoutline","Win levels to collect <color=#FFD700> Flames! </color>
Longer streak, more Rewards!"
"popupwinningstreak.txtgold","1900"
"popupwinningstreak.txtgoldoutline","1900"
"popupwinningstreak.txtgreen","Stay"
"popupwinningstreak.txtgreenoutline","Stay"
"popupwinningstreak.txtred","Quit
"
"popupwinningstreak.txtredoutline","Quit
"
"popupwinningstreak.txttitle","Winning Streak"
"popupwinningstreak.txttitleoutline","Winning Streak"
"popupwinningstreakinfo.textclose","Tap to Continue"
"popupwinningstreakinfo.textdescription","If you <color=#e7656b>fail</color> a level,
the multiplier will reset!"
"popupwinningstreakinfo.textdescriptionoutline","If you <color=#FFD700>fail</color> a level,
the multiplier will reset!"
"popupwinningstreakinfo.textinfo1","Win levels,
collect <color=#FFD700> Flames! </color>"
"popupwinningstreakinfo.textinfo2","Multiply <color=#FFD700> Flames </color>
up to x100!"
"popupwinningstreakinfo.textinfo3","Get <color=#FFD700>rewards!"
"rewardimg.textreward","100"
"rewardimg.textrewardoutline","100"
"shopitem.textamount","x1"
"shopitem.textamountoutline","x1"
"shoplistad.txtbtnbuy","$ 100"
"shoplistad.txtbtnbuyoutline","$ 100"
"shoplistad.txtdescription","No Ads,
Just Fun!"
"shoplistad.txtdescriptionoutline","No Ads,
Just Fun!"
"shoplistad.txtoffper","90% OFF"
"shoplistad.txttimeoff","COCOCO"
"shoplistad.txttitle","NO ADS!"
"shoplistad.txttitleoutline","NO ADS!"
"shoplistgold.textprice","Price
"
"shoplistgold.textpriceoutline","Price
"
"shoplistgold.txtbtnbuy","$10"
"shoplistgold.txtbtnbuyoutline","$10"
"shoplistgold.txtoffper","90% OFF"
"shoplistgold.txttimeoff","COCOCO"
"shoplistgoldalign.textprice","Price
"
"shoplistgoldalign.textpriceoutline","Price
"
"shoplistgoldalign.txtbtnbuy","$10"
"shoplistgoldalign.txtbtnbuyoutline","$10"
"shoplistgoldalign.txtoffper","90% OFF"
"shoplistgoldalign.txttimeoff","COCOCO"
"shoplistitem.textamount","x1"
"shoplistitem.textamountoutline","x1"
"shoplistitem.textprice","Price
"
"shoplistitem.textpriceoutline","Price
"
"shoplistitem.textsale","90% OFF"
"shoplistitem.textsaleoutline","90% OFF"
"shoplistitem.txtbtnbuy","$ 100"
"shoplistitem.txtbtnbuyoutline","$ 100"
"shoplistitem.txtoffper","90% OFF"
"shoplistitem.txttimeoff","COCOCO"
"shoplistitem.txttitle","Title
"
"shoplistitem.txttitleoutline","Title
"
"slotwinningstreak.textnumber","1"
"slotwinningstreak.textnumberoutline","1"
"slotwinningstreak.textreward","100"
"slotwinningstreak.textrewardoutline","100"
"slotwinningstreak.txtgrandprize","Grand Prize"
"spawner.magazinetext","00"
"tutorial.instructiontext","Tutorial instruction text"
"tutorial.text","SKIP"
"tutorial.texttap","Tap to anywhere"
"tutorial.texttapoutline","Tap to anywhere"
"txttoast.txttoast","Your lives are unlimited!
"
"txttoast.txttoastoutline","Your lives are unlimited!
"
"uihud.holdertext","On Rail: 0/9"
"uihud.remainingtext","Balloons: --"
"uihud.scoretext","0"
"uihud.textitem","0"
"uihud.textitemoutline","0"
"uihud.textspeed","x1"
"uihud.textspeedoutline","x1"
"uihud.txtgold","1000"
"uihud.txtlevel","level 00"
"uihud.txtleveloutline","level 00"
"uihud.txtlock","Lv.15"
"uihud.txtlockoutline","Lv.15"
"uihud.txtnumber","Level 1"
"uihud.txtnumberoutline","Level 1"
"uilobby.text","Home
"
"uilobby.textgauge","100/100"
"uilobby.textgaugeoutline","100/100"
"uilobby.texthome","Home
"
"uilobby.textlevel","30"
"uilobby.textleveloutline","30"
"uilobby.textlifeamount","0"
"uilobby.textlifeamountoutline","0"
"uilobby.textmultiplierx1","x1"
"uilobby.textmultiplierx10","x10"
"uilobby.textmultiplierx100","x100"
"uilobby.textmultiplierx25","x25"
"uilobby.textmultiplierx5","x5"
"uilobby.textnoads","No Ads"
"uilobby.textnoadsoutline","No Ads"
"uilobby.textprivacy","Privacy"
"uilobby.textprivacyoutline","Privacy"
"uilobby.textreward","100"
"uilobby.textrewardoutline","100"
"uilobby.textsetting","Setting"
"uilobby.textshop","Shop"
"uilobby.textsupport","Support"
"uilobby.textsupportoutline","Support"
"uilobby.textterms","Terms"
"uilobby.texttermsoutline","Terms"
"uilobby.texttimer","0d 00h"
"uilobby.texttimeroutline","0d 00h"
"uilobby.textyellowoutlinex10","x10"
"uilobby.textyellowoutlinex100","x100"
"uilobby.textyellowoutlinex1_","x1"
"uilobby.textyellowoutlinex25","x25"
"uilobby.textyellowoutlinex5","x5"
"uilobby.textyellowx10","x10"
"uilobby.textyellowx100","x100"
"uilobby.textyellowx1_","x1"
"uilobby.textyellowx25","x25"
"uilobby.titlesetting","SETTING
"
"uilobby.titlesettingoutline","SETTING
"
"uilobby.titleshop","SHOP"
"uilobby.titleshopoutline","SHOP"
"uilobby.txtbtnmoreproducts__1_","More Offers!"
"uilobby.txtbtnmoreproductsoutline","More Offers!"
"uilobby.txtgold","1000"
"uilobby.txthaptic","Haptic"
"uilobby.txtlevel","Supur Hard"
"uilobby.txtleveloutline","Supur Hard"
"uilobby.txtlife","FULL"
"uilobby.txtmusic","Music"
"uilobby.txtnotification","Notification"
"uilobby.txtnotificationoff","OFF
"
"uilobby.txtnotificationoffoutline","OFF
"
"uilobby.txtnotificationon","On"
"uilobby.txtnotificationonoutline","On"
"uilobby.txtnotificationoutline","Notification"
"uilobby.txtplay","Level 00"
"uilobby.txtplayoutline","Level 00"
"uilobby.txtsound","Sound
"
"uisetting.textprivacy","Privacy"
"uisetting.textprivacyoutline","Privacy"
"uisetting.textsupport","Support"
"uisetting.textsupportoutline","Support"
"uisetting.textterms","Terms"
"uisetting.texttermsoutline","Terms"
"uisetting.titlesetting","SETTING
"
"uisetting.titlesettingoutline","SETTING
"
"uisetting.txthaptic","Haptic"
"uisetting.txtmusic","Music"
"uisetting.txtnotification","Notification"
"uisetting.txtnotificationoff","OFF
"
"uisetting.txtnotificationoffoutline","OFF
"
"uisetting.txtnotificationon","On"
"uisetting.txtnotificationonoutline","On"
"uisetting.txtnotificationoutline","Notification"
"uisetting.txtsound","Sound
"
"uishop.textamount","x1"
"uishop.textamountoutline","x1"
"uishop.textprice","Price
"
"uishop.textpriceoutline","Price
"
"uishop.textsale","90% OFF"
"uishop.textsaleoutline","90% OFF"
"uishop.titleshop","SHOP"
"uishop.titleshopoutline","SHOP"
"uishop.txtbtnbuy","$ 100"
"uishop.txtbtnbuyoutline","$ 100"
"uishop.txtbtnmoreproducts__1_","More Offers!"
"uishop.txtbtnmoreproductsoutline","More Offers!"
"uishop.txtdescription","No Ads,
Just Fun!"
"uishop.txtdescriptionoutline","No Ads,
Just Fun!"
"uishop.txtgold","1000"
"uishop.txtoffper","90% OFF"
"uishop.txttimeoff","COCOCO"
"uishop.txttitle","Title
"
"uishop.txttitleoutline","Title
"
"uititle.subtitletext","Pop & Flow Puzzle"
"uititle.taptostart","Tap to Start"
"uititle.txtloading","Loading.."
"uititle.txtloadingoutline","Loading.."
"useitem.txtdescription","Your lives are unlimited!
"
"useitem.txtdescriptionoutline","Your lives are unlimited!
"
"winningstreakclickinfo.textreward","100"
"winningstreakclickinfo.textrewardoutline","100"
"winningstreakgetreward.textreward","+1"
"winningstreakgetreward.textrewardoutline","+1"
"woodenboard.magazinetext","00"
"ui.settings.title","Settings"
"ui.common.on","On"
"ui.common.off","Off"
"ui.settings.notifications","Notifications"
"ui.settings.sound","Sound"
"ui.settings.music","Music"
"ui.settings.haptic","Haptic"
"ui.lobby.noads","NO ADS"
"ui.lobby.hard_level","Hard Level"
"ui.lobby.super_hard","Super Hard"
"ui.shop.title","Shop"
"ui.shop.more_offers","More Offers"
"ui.morelive.free","FREE"
"ui.morelive.unlimited","UNLIMITED"
"ui.morelive.full","FULL"
"ui.tutorial.skip","SKIP"
